spec,pre_years,post_years,n_obs,activity_clusters,did_coef,se,p_norm,cluster_se,cluster_p_norm,high_pre_mean,high_post_mean,low_pre_mean,low_post_mean,outcome
primary_2015_2019_vs_2023_2024,2015-2019,2023-2024,112,16,-1.297499999999991,0.3413321761779601,0.00014394911362625938,0.7948581157397226,0.10260223842070375,3.2299999999999995,2.84375,18.4075,19.318749999999998,pct_engaged
primary_2017_2019_vs_2023_2024,2017-2019,2023-2024,80,16,-1.2749999999999995,0.3734182743614969,0.0006392224927907377,0.7409621407789975,0.08529879702690972,3.1666666666666665,2.84375,18.366666666666667,19.318749999999998,pct_engaged
primary_2003_2019_vs_2023_2024,2003-2019,2023-2024,304,16,-2.1242647058823723,0.44893630742645413,2.225672093696159e-06,1.2180529721802498,0.08116190686458527,3.3080882352941177,2.84375,17.658823529411762,19.318749999999998,pct_engaged
broad_education_2015_2019_vs_2023_2024,2015-2019,2023-2024,112,16,-1.3137499999999953,0.34171779271725145,0.0001207755020826273,0.7976769598674447,0.09956421812387829,3.2775,2.875,18.4075,19.318749999999998,pct_engaged
placebo_2015_2017_vs_2018_2019,2015-2017,2018-2019,80,16,-0.03749999999998514,0.19352148452239445,0.8463505484023708,0.30089770740261673,0.9008187957732171,3.266666666666667,3.175,18.429166666666667,18.375,pct_engaged
