domain,high_codes,outcome,spec,pre_years,post_years,n_obs,activity_clusters,did_coef,se,p_norm,cluster_se,cluster_p_norm,high_pre_mean,high_post_mean,low_pre_mean,low_post_mean,note
finance_accounting,020901;080200,minutes_per_day,domain_2015_2019_vs_2023_2024,2015-2019,2023-2024,69.0,10.0,-1.3711363636363816,0.6222760020435671,0.02756504947695974,0.6570613793433854,0.03690887663837512,1.1999999999999997,1.2,10.905,12.0,
health_medical,010300;030300;080400,minutes_per_day,domain_2015_2019_vs_2023_2024,2015-2019,2023-2024,77.0,11.0,-1.395000000000011,0.48913578233382404,0.004344936228986728,0.688631272642346,0.04278963594435073,2.8,2.5,10.905,12.0,
legal_admin_proxy,600069,minutes_per_day,domain_2015_2019_vs_2023_2024,,,,,,,,,,,,,,Insufficient nonmissing high-domain observations in pre/post windows.
tutoring_education,030201;060300,minutes_per_day,domain_2015_2019_vs_2023_2024,2015-2019,2023-2024,70.0,10.0,-1.814999999999986,0.5708447067682093,0.0014753003392212114,0.6874185200430036,0.008282950901840145,6.12,5.4,10.905,12.0,
