spec,pre_years,post_years,n_obs,activity_clusters,did_coef,se,p_norm,cluster_se,cluster_p_norm,high_pre_mean,high_post_mean,low_pre_mean,low_post_mean,outcome
primary_2015_2019_vs_2023_2024,2015-2019,2023-2024,104,15,-1.504436619718315,0.3333083799111491,6.372201985620206e-06,0.6290203736286161,0.01676991997578811,3.2914285714285714,3.092307692307692,10.905,12.0,minutes_per_day
primary_2017_2019_vs_2023_2024,2017-2019,2023-2024,74,15,-1.6013157894736776,0.37358647446577253,1.8164717362156708e-05,0.6285542303473663,0.01084613044420444,3.2857142857142856,3.092307692307692,10.799999999999999,12.0,minutes_per_day
primary_2003_2019_vs_2023_2024,2003-2019,2023-2024,289,16,-1.522527053274145,0.36928764646124074,3.7417167884783554e-05,0.7865508640166401,0.052904369433134674,3.0870967741935487,3.092307692307692,10.782352941176471,12.0,minutes_per_day
broad_education_2015_2019_vs_2023_2024,2015-2019,2023-2024,104,15,-1.577535211267601,0.33300150824529295,2.1656143836981286e-06,0.6324138922988809,0.012614666551652165,3.36,3.092307692307692,10.905,12.0,minutes_per_day
placebo_2015_2017_vs_2018_2019,2015-2017,2018-2019,75,15,0.43928571428571445,0.2483409701938222,0.07691367467710916,0.3408807859496325,0.19750990617005537,3.2857142857142856,3.3000000000000003,11.075000000000001,10.65,minutes_per_day
