year,base_year,coef,se,cluster_se,p_norm,cluster_p_norm
2014,2019,-0.33214285714287584,0.5370755995621771,0.536768663488623,0.5362929162421712,0.5360598957853258
2015,2019,-0.37500000000000083,0.5370755995621802,0.518788818423367,0.48503604080360885,0.4697797402477198
2016,2019,-0.5571428571428634,0.5370755995621807,0.40663379420671625,0.29956627972905353,0.17064502228202436
2017,2019,-0.5464285714285757,0.5370755995621804,0.4092524365759969,0.30895622606107565,0.18181511986897117
2018,2019,-0.10714285714284597,0.5370755995621812,0.3233965376148288,0.8418770681703895,0.7404141914152804
2021,2019,-0.9642857142857268,0.5370755995621795,0.41744036788081507,0.07258400964873644,0.02088835777335702
2022,2019,-1.194642857142847,0.5503387226311823,0.5787433966307828,0.029950752219539387,0.03899863669954538
2023,2019,-1.5196428571428653,0.550338722631196,0.609182981998681,0.005757415494339395,0.012611377799059768
2024,2019,-2.0999999999999894,0.53707559956218,0.893689053431679,9.227164671188944e-05,0.018782966470578935
