year,activity_code,activity_text,positive_respondents,respondents_total,positive_share_unweighted,weighted_positive_population,weighted_total_population,positive_share_weighted,weighted_mean_minutes_all_respondents,weighted_mean_minutes_among_positive,automation_score,augmentation_score,ai_exposure_score,post_2023plus,participation_rate_weighted_pp,participation_rate_unweighted_pp,ai_exposure_score_z,ai_exposure_x_post,ai_exposure_z_x_post
2017,010101,Sleeping,10200,10223,0.9977501711826274,94457291305.62727,94609556505.88104,0.9983905938694017,522.8136549456374,523.6564308157194,0.05,0.05,0.05,0.0,99.83905938694016,99.77501711826274,-0.4785288964455661,0.0,-0.0
2017,010102,Sleeplessness,732,10223,0.0716032475789885,6937868418.97686,94609556505.88104,0.0733315816626367,5.364499873380589,73.15401838814915,0.05,0.05,0.05,0.0,7.3331581662636705,7.1603247578988505,-0.4785288964455661,0.0,-0.0
2017,010199,"Sleeping, n.e.c.*",0,10223,0.0,0.0,94609556505.88104,0.0,0.0,,0.05,0.05,0.05,0.0,0.0,0.0,-0.4785288964455661,0.0,-0.0
2017,010201,"Washing, dressing and grooming oneself",7956,10223,0.7782451335224494,75764700240.15486,94609556505.88104,0.8008144529822971,40.67418138987229,50.79101811711612,0.05,0.05,0.05,0.0,80.08144529822971,77.82451335224494,-0.4785288964455661,0.0,-0.0
2017,010299,"Grooming, n.e.c.*",5,10223,0.0004890932211679,42995151.06578,94609556505.88104,0.0004544482888798,0.017177881350517,37.79941914372203,0.05,0.05,0.05,0.0,0.04544482888798,0.04890932211679,-0.4785288964455661,0.0,-0.0
2017,010301,Health-related self care,770,10223,0.075320356059865,6160338715.098075,94609556505.88104,0.0651132818143497,4.381173129661911,67.28539873252687,0.05,0.05,0.05,0.0,6.511328181434969,7.532035605986501,-0.4785288964455661,0.0,-0.0
2017,010399,"Self care, n.e.c.*",26,10223,0.0025432847500733,232124479.40632305,94609556505.88104,0.0024534992867437,0.3650094550642578,148.7709644084271,0.05,0.05,0.05,0.0,0.24534992867437,0.25432847500733,-0.4785288964455661,0.0,-0.0
2017,010401,Personal/Private activities,77,10223,0.0075320356059865,706661456.069523,94609556505.88104,0.0074692397065152,0.642130000414971,85.9699280844953,0.05,0.05,0.05,0.0,0.74692397065152,0.75320356059865,-0.4785288964455661,0.0,-0.0
2017,010499,"Personal activities, n.e.c.*",1,10223,9.781864423359092e-05,13820598.909744,94609556505.88104,0.0001460803688355,0.0043824110650655,30.0,0.05,0.05,0.05,0.0,0.01460803688355,0.009781864423359092,-0.4785288964455661,0.0,-0.0
2017,010501,Personal emergencies,1,10223,9.781864423359092e-05,6102539.988552,94609556505.88104,6.4502363333377e-05,0.0035476299833357,55.0,0.05,0.05,0.05,0.0,0.0064502363333377,0.009781864423359092,-0.4785288964455661,0.0,-0.0
2017,010599,"Personal care emergencies, n.e.c.*",0,10223,0.0,0.0,94609556505.88104,0.0,0.0,,0.05,0.05,0.05,0.0,0.0,0.0,-0.4785288964455661,0.0,-0.0
2017,019999,"Personal care, n.e.c.*",0,10223,0.0,0.0,94609556505.88104,0.0,0.0,,0.05,0.05,0.05,0.0,0.0,0.0,-0.4785288964455661,0.0,-0.0
2017,020101,Interior cleaning,2655,10223,0.2597085004401839,21864863715.189926,94609556505.88104,0.2311062911898417,21.034515881521816,91.01663037049504,0.05,0.05,0.05,0.0,23.110629118984168,25.97085004401839,-0.4785288964455661,0.0,-0.0
2017,020102,Laundry,1873,10223,0.1832143206495158,14851546361.786789,94609556505.88104,0.1569772326420703,9.694033396717526,61.75439096204004,0.05,0.05,0.05,0.0,15.697723264207031,18.32143206495158,-0.4785288964455661,0.0,-0.0
2017,020103,"Sewing, repairing, & maintaining textiles",105,10223,0.010270957644527,719669329.112437,94609556505.88104,0.0076067297606209,0.9602810174667008,126.24097972271178,0.05,0.05,0.05,0.0,0.7606729760620901,1.0270957644527001,-0.4785288964455661,0.0,-0.0
2017,020104,"Storing interior hh items, inc. food",667,10223,0.0652450357038051,5616656757.502802,94609556505.88104,0.0593666957645411,1.3829051929698142,23.294292787570026,0.05,0.05,0.05,0.0,5.93666957645411,6.52450357038051,-0.4785288964455661,0.0,-0.0
2017,020199,"Housework, n.e.c.*",9,10223,0.0008803677981023,49430842.482646,94609556505.88104,0.0005224719817767,0.057163170111675,109.40906327126623,0.05,0.05,0.05,0.0,0.052247198177670005,0.08803677981023,-0.4785288964455661,0.0,-0.0
2017,020201,Food and drink preparation,5806,10223,0.5679350484202289,51246901987.91647,94609556505.88104,0.5416672890199089,28.161582407945208,51.99055394114842,0.05,0.05,0.05,0.0,54.16672890199089,56.79350484202289,-0.4785288964455661,0.0,-0.0
2017,020202,Food presentation,240,10223,0.0234764746160618,2249892539.091138,94609556505.88104,0.0237808168876817,0.3512385649706906,14.769827572770591,0.05,0.05,0.05,0.0,2.37808168876817,2.3476474616061798,-0.4785288964455661,0.0,-0.0
2017,020203,Kitchen and food clean-up,2452,10223,0.2398513156607649,21167579858.54608,94609556505.88104,0.2237361704283042,7.615782930328786,34.03912257794386,0.05,0.05,0.05,0.0,22.37361704283042,23.98513156607649,-0.4785288964455661,0.0,-0.0
2017,020299,"Food & drink prep, presentation, & clean-up, n.e.c.*",2,10223,0.0001956372884671,27637200.894112997,94609556505.88104,0.000292118491142,0.0044981462904318,15.39836205796732,0.05,0.05,0.05,0.0,0.0292118491142,0.01956372884671,-0.4785288964455661,0.0,-0.0
2017,020301,"Interior arrangement, decoration, & repairs",207,10223,0.0202484593563533,1792379454.726443,94609556505.88104,0.0189450148687149,2.7843631603935823,146.97075614290335,0.05,0.05,0.05,0.0,1.8945014868714902,2.02484593563533,-0.4785288964455661,0.0,-0.0
