activity_code,activity_text,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,participation_rate_unweighted_pp_post,participation_rate_unweighted_pp_pre,participation_rate_weighted_pp_post,participation_rate_weighted_pp_pre,positive_respondents_post,positive_respondents_pre,respondents_total_post,respondents_total_pre,weighted_participation_change_pp,unweighted_participation_change_pp
010101,Sleeping,0.05,-0.4785288964455661,0.05,0.05,99.86978948178353,99.82834607464602,99.88550195791439,99.86595044126658,8098.0,9278.8,8108.5,9294.8,0.019551516647808853,0.04144340713750694
010102,Sleeplessness,0.05,-0.4785288964455661,0.05,0.05,5.471387733940055,6.838030593441158,5.629366113854481,6.763778849987986,445.0,640.6,8108.5,9294.8,-1.1344127361335055,-1.3666428595011029
010199,"Sleeping, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.0,0.0020848535390380002,0.0,0.004332078466656,0.0,0.2,8108.5,9294.8,-0.004332078466656,-0.0020848535390380002
010201,"Washing, dressing and grooming oneself",0.05,-0.4785288964455661,0.05,0.05,74.98292568644904,76.91909808328971,78.1953854163053,79.3401748078056,6079.5,7155.2,8108.5,9294.8,-1.1447893915002965,-1.936172396840675
010299,"Grooming, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.03643679562926,0.069663789665694,0.03282273916968,0.063968105184344,3.0,6.4,8108.5,9294.8,-0.031145366014663993,-0.033226994036434004
010301,Health-related self care,0.05,-0.4785288964455661,0.05,0.05,8.317616157960021,7.675853036833447,6.647496863836605,6.602746233926804,675.0,712.2,8108.5,9294.8,0.044750629909801276,0.6417631211265737
010399,"Self care, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.06836513653684001,0.16705919007338002,0.051312005604095004,0.140369890061798,5.5,16.0,8108.5,9294.8,-0.089057884457703,-0.09869405353654001
010401,Personal/Private activities,0.05,-0.4785288964455661,0.05,0.05,0.217464485946465,0.488819363261028,0.256295282140255,0.454856475366448,17.5,46.6,8108.5,9294.8,-0.19856119322619303,-0.271354877314563
010499,"Personal activities, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.017547964436125,0.02445917697126182,0.013706229538024998,0.02383846600881435,1.5,2.2,8108.5,9294.8,-0.010132236470789353,-0.00691121253513682
010501,Personal emergencies,0.05,-0.4785288964455661,0.05,0.05,0.006519754857215,0.012531646734389817,0.004406651076628438,0.006496837955433064,0.5,1.2,8108.5,9294.8,-0.0020901868788046262,-0.006011891877174816
010599,"Personal care emergencies, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,8108.5,9294.8,0.0,0.0
019999,"Personal care, n.e.c.*",0.05,-0.4785288964455661,0.05,0.05,0.01236907633592,0.0045779772484599995,0.0063005617472554525,0.0028138034724859333,1.0,0.4,8108.5,9294.8,0.003486758274769519,0.00779109908746
020101,Interior cleaning,0.05,-0.4785288964455661,0.05,0.05,27.205312419513668,25.93878483061929,24.809295659972257,23.03526365844546,2203.5,2409.6,8108.5,9294.8,1.7740320015267983,1.2665275888943768
020102,Laundry,0.05,-0.4785288964455661,0.05,0.05,18.066508425067024,18.39929723533163,15.305504317132176,15.996819900270854,1466.5,1711.4,8108.5,9294.8,-0.6913155831386781,-0.3327888102646064
