activity_code,activity_text,period,participation_rate_weighted_pp,participation_rate_unweighted_pp,positive_respondents,respondents_total,ai_exposure_score,ai_exposure_score_z,automation_score,augmentation_score,post_2023plus,ai_exposure_x_post,ai_exposure_z_x_post
020199,"Housework, n.e.c.*",pre,0.09964365344583201,0.13840818817152,12.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020201,Food and drink preparation,post,59.04245751788551,62.20295835173275,5037.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020201,Food and drink preparation,pre,55.86460640494427,59.02186008358042,5476.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020202,Food presentation,post,1.57175318127614,1.673294168837425,136.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020202,Food presentation,pre,1.933684963256254,1.8575319621492419,173.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020203,Kitchen and food clean-up,post,22.45365748226351,25.267322152711387,2048.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020203,Kitchen and food clean-up,pre,22.968793509918207,24.804793780908277,2302.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020299,"Food & drink prep, presentation, & clean-up, n.e.c.*",post,0.011663896763285001,0.011698642957415,1.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020299,"Food & drink prep, presentation, & clean-up, n.e.c.*",pre,0.010270591660544448,0.008117366134028001,0.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020301,"Interior arrangement, decoration, & repairs",post,1.8057712513402202,2.21119835168881,179.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020301,"Interior arrangement, decoration, & repairs",pre,1.869242567838072,2.219209079993818,206.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020302,Building and repairing furniture,post,0.201242793936665,0.24354350537532998,19.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020302,Building and repairing furniture,pre,0.24759319063911,0.26733434648867005,24.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020303,Heating and cooling,post,0.5572255808178149,0.7245966157194199,58.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020303,Heating and cooling,pre,0.724278221813892,0.819391783076656,76.0,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020399,"Interior maintenance, repair, & decoration, n.e.c.*",post,0.026721761918315,0.029246607393540004,2.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020399,"Interior maintenance, repair, & decoration, n.e.c.*",pre,0.040254324082046,0.04693608206999,4.4,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020401,Exterior cleaning,post,1.55746279512514,2.025477627722055,165.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020401,Exterior cleaning,pre,1.876062506431278,2.199370090865202,204.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020402,"Exterior repair, improvements, & decoration",post,0.87893276368538,1.0531982097613448,85.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020402,"Exterior repair, improvements, & decoration",pre,0.8539993503443821,0.9906096445427061,92.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020499,"Exterior maintenance, repair & decoration, n.e.c.*",post,0.06366075368315499,0.07287359125853,6.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020499,"Exterior maintenance, repair & decoration, n.e.c.*",pre,0.05779684416353,0.07309752610418,6.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020501,"Lawn, garden, and houseplant care",post,9.21559855557355,11.914034362677636,965.0,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020501,"Lawn, garden, and houseplant care",pre,9.022273738787685,10.375239832831578,960.8,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020502,"Ponds, pools, and hot tubs",post,0.290957852677355,0.42237531662912997,34.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020502,"Ponds, pools, and hot tubs",pre,0.31237911488813597,0.315545935347056,29.6,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020599,"Lawn and garden, n.e.c.*",post,0.023150109923679836,0.031257907529065,2.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
020599,"Lawn and garden, n.e.c.*",pre,0.013317547348632,0.012065025189984,1.2,9294.8,0.05,-0.4785288964455661,0.05,0.05,0.0,0.0,-0.0
020681,Care for animals and pets (not veterinary care),post,20.219109124175965,21.708011177001545,1761.5,8108.5,0.05,-0.4785288964455661,0.05,0.05,1.0,0.05,-0.4785288964455661
