year,activity_code,activity_text,positive_respondents,respondents_total,positive_share_unweighted,weighted_positive_population,weighted_total_population,positive_share_weighted,weighted_mean_minutes_all_respondents,weighted_mean_minutes_among_positive,automation_score,augmentation_score,ai_exposure_score
2003,010101,Sleeping,20684,20720,0.9982625482625482,82104220467.00128,82231180900.71338,0.9984560548404943,512.271724469813,513.063866943698,0.05,0.05,0.05
2003,010102,Sleeplessness,417,20720,0.020125482625482624,1512658343.465779,82231180900.71338,0.018395191786096023,1.741901962941254,94.69332982208252,0.05,0.05,0.05
2003,010199,"Sleeping, n.e.c.*",0,20720,0.0,0.0,82231180900.71338,0.0,0.0,,0.05,0.05,0.05
2003,010201,"Washing, dressing and grooming oneself",16088,20720,0.7764478764478765,65039733710.89191,82231180900.71338,0.7909376102651551,39.99906814253867,50.57171087000063,0.05,0.05,0.05
2003,010299,"Grooming, n.e.c.*",7,20720,0.00033783783783783786,26842110.438877,82231180900.71338,0.0003264225339447136,0.07737087158490509,237.02674766322792,0.05,0.05,0.05
2003,010301,Health-related self care,1137,20720,0.05487451737451737,4286172796.1076775,82231180900.71338,0.05212344939181694,4.3313811348975175,83.09851296175954,0.05,0.05,0.05
2003,010399,"Self care, n.e.c.*",33,20720,0.0015926640926640927,117211715.086909,82231180900.71338,0.001425392579834545,0.1388284571488592,97.39664644877972,0.05,0.05,0.05
2003,010401,Personal/Private activities,774,20720,0.03735521235521236,3081947255.1605997,82231180900.71338,0.03747905869042266,0.9365146058871887,24.987676815013074,0.05,0.05,0.05
2003,010499,"Personal activities, n.e.c.*",10,20720,0.00048262548262548264,53585909.618672,82231180900.71338,0.0006516495206772243,0.08199620781203563,125.82869350816277,0.05,0.05,0.05
2003,010501,Personal emergencies,1,20720,4.826254826254826e-05,2812824.480107,82231180900.71338,3.420630044828407e-05,0.0006841260089656813,20.0,0.05,0.05,0.05
2003,010599,"Personal care emergencies, n.e.c.*",0,20720,0.0,0.0,82231180900.71338,0.0,0.0,,0.05,0.05,0.05
2003,019999,"Personal care, n.e.c.*",5,20720,0.00024131274131274132,12045977.872766,82231180900.71338,0.00014648917528389157,0.004871226056068532,33.25314683919985,0.05,0.05,0.05
2003,020101,Interior cleaning,5653,20720,0.2728281853281853,20166252323.330357,82231180900.71338,0.24523851053141582,21.98553693669536,89.6496104508796,0.05,0.05,0.05
2003,020102,Laundry,3870,20720,0.18677606177606176,13883540886.005415,82231180900.71338,0.168835479850016,11.11428179968337,65.82906513226175,0.05,0.05,0.05
2003,020103,"Sewing, repairing, & maintaining textiles",288,20720,0.013899613899613899,1059512998.7016859,82231180900.71338,0.012884565040856593,1.8312643622164213,142.1285356866556,0.05,0.05,0.05
2003,020104,"Storing interior hh items, inc. food",1899,20720,0.09165057915057916,6449893297.628674,82231180900.71338,0.0784361020598297,1.6479152642942303,21.009652711161362,0.05,0.05,0.05
2003,020199,"Housework, n.e.c.*",49,20720,0.002364864864864865,204927999.912767,82231180900.71338,0.002492096035446685,0.22374455877666077,89.78167598447169,0.05,0.05,0.05
2003,020201,Food and drink preparation,10328,20720,0.49845559845559845,38412380149.15546,82231180900.71338,0.46712669973127213,23.95644483251642,51.28468324824517,0.05,0.05,0.05
2003,020202,Food presentation,379,20720,0.01829150579150579,1480885072.183337,82231180900.71338,0.01800880220814742,0.35338435436998533,19.62286832214247,0.05,0.05,0.05
