activity_code,activity_text,year,weighted_mean_minutes,sample_n_positive_minutes,weighted_engaged_population,respondents_total,automation_score,automation_score_z,augmentation_score,ai_exposure_score,post_2023plus,automation_x_post,automation_z_x_post
020904,HH & personal e-mail and messages,2017,1.6850371043945074,536,4617016644.364534,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
020905,Home security,2017,0.12754633689529993,147,1335549312.952364,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
020999,"Household management, n.e.c.*",2017,0.0063063772700068825,5,19186424.154064998,10223,0.6,3.2266318658610293,0.65,0.628,0.0,0.0,0.0
029999,"Household activities, n.e.c.*",2017,0.3557019996815104,36,394466678.5331199,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030101,Physical care for hh children,2017,8.585963000021376,1777,13079470867.713743,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030102,Reading to/with hh children,2017,0.8287894356872295,379,2532839218.568972,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030103,"Playing with hh children, not sports",2017,5.492016785350373,657,4825594963.361809,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030104,Arts and crafts with hh children,2017,0.047119047412911876,20,105135283.698635,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030105,Playing sports with hh children,2017,0.12789206543948858,40,284259997.614669,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030108,Organization & planning for hh children,2017,0.19609943477223557,116,838699862.533545,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030109,Looking after hh children (as a primary activity),2017,2.030179389178934,358,2601708363.04451,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030110,Attending hh children's events,2017,1.405829372976226,178,1184079115.802486,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030111,Waiting for/with hh children,2017,0.47977457234862897,210,1908293916.951077,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030112,Picking up/dropping off hh children,2017,1.0033225400551073,864,7578497248.944174,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030186,Talking with/listening to hh children,2017,1.0267475877801702,326,2612047836.127962,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030199,"Caring for & helping hh children, n.e.c.*",2017,0.21560283641937367,29,165938022.648597,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030201,Homework (hh children),2017,1.3464349886516207,283,2464252445.2863092,10223,0.65,3.5614123988860906,0.8,0.733,0.0,0.0,0.0
030202,Meetings and school conferences (hh children),2017,0.1085399190208215,30,232696126.60168502,10223,0.35,1.5527292007357238,0.8,0.598,0.0,0.0,0.0
030203,Home schooling of hh children,2017,0.2876438554076881,14,143119680.18776,10223,0.35,1.5527292007357238,0.8,0.598,0.0,0.0,0.0
030204,Waiting associated with hh children's education,2017,0.0016218421418648851,2,19395567.932235003,10223,0.35,1.5527292007357238,0.8,0.598,0.0,0.0,0.0
030299,"Activities related to hh child's education, n.e.c.*",2017,0.0678023056703544,10,88833239.984454,10223,0.35,1.5527292007357238,0.8,0.598,0.0,0.0,0.0
030301,Providing medical care to hh children,2017,0.3158314992986214,53,341216627.159344,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030302,Obtaining medical care for hh children,2017,0.32835630599005006,26,292712405.116992,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030303,Waiting associated with hh children's health,2017,0.060805833457184696,17,169405899.75242,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030399,"Activities related to hh child's health, n.e.c.*",2017,0.009378358488326657,1,5915215.582225,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030401,Physical care for hh adults,2017,1.022857624487565,140,1569580936.068804,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030402,Looking after hh adult (as a primary activity),2017,0.12281084643335212,17,188227269.295076,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030403,Providing medical care to hh adult,2017,0.24591146346195297,50,611497095.6569018,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030404,Obtaining medical and care services for hh adult,2017,0.279206440038319,17,230611423.487444,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
030405,Waiting associated with caring for household adults,2017,0.14228686712812452,16,220243260.06566,10223,0.05,-0.45595399741464243,0.05,0.05,0.0,0.0,-0.0
