year,base_year,coef,cluster_se_by_task,cluster_p_norm
2017,2022,0.25288789638240783,0.17467042610812028,0.14767290715440978
2018,2022,0.4453868683874377,0.24503689009198715,0.06912041241647632
2019,2022,0.5183634969382621,0.24745129705576505,0.036187869517595526
2021,2022,-0.018499610613741068,0.19106426123522588,0.9228661451821734
2023,2022,-0.1605460089684997,0.1302656647204281,0.21778077387613648
2024,2022,-0.3180525037907439,0.2217967271037873,0.1515774131281051
